year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
2015,Cadillac,Escalade ESV,Premium,SUV,automatic,1gys4jkj9fr211155,pa,49,9459,beige,brown,1 cochran of monroeville,79000,75000,Wed Feb 25 2015 01:00:00 GMT-0800 (PST)
2014,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1et0efc02102,oh,49,10926,white,gray,159191 canada inc,27700,26700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2012,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1et5ckd07898,oh,49,54307,black,gray,159191 canada inc,23500,21750,Tue Feb 03 2015 01:30:00 GMT-0800 (PST)
2010,Ford,Ranger,SPORT,SuperCab,automatic,1ftkr4ee3apa28412,oh,49,15175,burgundy,gray,159191 canada inc,14250,13700,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
2013,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtp2ve71dg381421,oh,49,35232,white,black,159191 canada inc,26300,25000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
2011,Dodge,Challenger,SRT8,Coupe,automatic,2b3cj7dj6bh526865,ca,49,3966,silver,black,2020 motors,32300,32750,Thu Jan 29 2015 04:30:00 GMT-0800 (PST)
2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,2gcec13j981100458,tn,49,95609,brown,gray,231 car sales inc.,15000,15800,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2014,Infiniti,QX60,Base,SUV,automatic,5n1al0mnxec529961,tn,49,10779,black,tan,231 car sales inc.,34700,35000,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2014,Toyota,Tacoma,PreRunner V6,access cab,automatic,5tftu4gn9ex061243,tn,49,15511,black,gray,231 car sales inc.,23700,24200,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
2009,Ford,Ranger,SPORT,SuperCab,automatic,1ftyr44e19pa66017,oh,49,21845,red,black,9209 0851 quebec inc,11750,13000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
2007,Jeep,Wrangler,X,suv,manual,1j4fa24137l192619,oh,49,62451,green,gray,9209 0851 quebec inc,14350,14000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
2013,Toyota,Prius c,One,Hatchback,automatic,jtdkdtb32d1046399,nj,49,19961,blue,gray,a & n auto sales inc,17100,15200,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
2004,Chevrolet,Corvette,Base,convertible,automatic,1g1yy32g545102015,pa,49,34973,gray,black,a d autos,20900,22400,Fri Jun 05 2015 02:15:00 GMT-0700 (PDT)
2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja6cr411578,oh,49,22887,red,black,a+ autobrokers inc,13550,13300,Tue Jan 20 2015 01:30:00 GMT-0800 (PST)
2014,Kia,Soul,+,Wagon,automatic,kndjp3a52e7087670,pr,49,6585,beige,black,aaa car rental inc,14200,16500,Wed Jan 14 2015 16:00:00 GMT-0800 (PST)
2014,Kia,Soul,+,Wagon,automatic,kndjp3a52e7734133,pr,49,7214,green,black,aaa car rental inc,14000,16500,Thu Jan 22 2015 03:00:00 GMT-0800 (PST)
2012,Jeep,Wrangler,Unlimited Sahara,SUV,manual,1c4bjweg9cl159830,ca,49,35600,silver,black,aaero sweet company,26600,27000,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2014,Dodge,Durango,Citadel,SUV,automatic,1c4sdjet9ec331705,ca,49,17041,gray,black,aaero sweet company,37600,36600,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
2012,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ft7w2bt4cec83221,ca,49,75348,white,black,aaero sweet company,35400,36750,Thu Jan 29 2015 03:30:00 GMT-0800 (PST)
2011,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ef5bfc77447,ca,49,13381,black,gray,aaero sweet company,26900,27750,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
2011,Chevrolet,Silverado 2500HD,Work Truck,Regular Cab,automatic,1gb0cvcg0bf141426,ca,49,71196,white,black,aaero sweet company,12150,24250,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
2014,Chevrolet,Silverado 2500HD,Work Truck,Crew Cab,automatic,1gc1kvc81ef123548,ca,49,32109,white,black,aaero sweet company,32800,37250,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
2012,Chevrolet,Silverado 1500,Work Truck,Regular Cab,automatic,1gcncpexxcz260997,ca,49,11293,blue,black,aaero sweet company,15450,16750,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
2012,Nissan,Frontier,S,Crew Cab,automatic,1n6ad0er6cc455757,ca,49,2733,silver,gray,aaero sweet company,19450,21750,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
2007,Chevrolet,Silverado 1500,LT2,Crew Cab,automatic,2gcek13m571500626,ca,49,80206,gray,gray,aaero sweet company,16900,20750,Thu Feb 26 2015 03:30:00 GMT-0800 (PST)
2005,Mercury,Grand Marquis,LS Ultimate,Sedan,automatic,2mefm75wx5x640745,ca,49,33770,gold,beige,aaero sweet company,5500,7100,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
2014,Ram,1500,Tradesman,Regular Cab,automatic,3c6jr6at6eg103522,ca,49,45876,white,black,aaero sweet company,16750,17600,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
2014,Ram,Promaster Cargo Van,2500 High Roof,Promaster Cargo Van,automatic,3c6trvdg2ee104759,ca,49,6528,white,black,aaero sweet company,23500,26000,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
2013,Toyota,Venza,XLE,Wagon,automatic,4t3zk3bb8du062782,ca,49,14019,silver,gray,aaero sweet company,22800,26500,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
2011,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h68bb059161,ca,49,44571,white,gray,aaero sweet company,20300,23000,Thu Feb 19 2015 03:30:00 GMT-0800 (PST)
2012,Honda,Pilot,EX-L,SUV,automatic,5fnyf3h5xcb027618,ca,49,26987,gray,black,aaero sweet company,25100,24300,Wed Jan 14 2015 04:15:00 GMT-0800 (PST)
2010,Buick,Enclave,CXL1,SUV,automatic,5galvbed4aj265720,ca,49,53080,gray,tan,aaero sweet company,19600,21500,Wed Feb 18 2015 04:00:00 GMT-0800 (PST)
2005,HUMMER,H2,Base,SUV,automatic,5grgn23u45h121289,ca,49,65814,gray,black,aaero sweet company,21200,24500,Thu Jan 15 2015 03:30:00 GMT-0800 (PST)
2010,Infiniti,QX56,Base,SUV,automatic,5n3za0ncxan907725,ca,49,62838,white,tan,aaero sweet company,27900,28250,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
2013,Toyota,Tacoma,Base,Double Cab,automatic,5tfjx4cn5dx026038,ca,49,26758,gray,gray,aaero sweet company,21100,22000,Wed Feb 11 2015 04:00:00 GMT-0800 (PST)
2012,Toyota,Tacoma,Base,Double Cab,automatic,5tfjx4cn6cx011224,ca,49,34520,black,tan,aaero sweet company,19900,24250,Thu Jan 22 2015 03:30:00 GMT-0800 (PST)
2013,Toyota,4Runner,SR5,SUV,automatic,jtebu5jrxd5112641,ca,49,49371,gray,black,aaero sweet company,26600,29000,Thu Feb 05 2015 03:30:00 GMT-0800 (PST)
2011,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a48ba011813,ca,49,70374,white,gray,aaero sweet company,10500,14500,Wed Jan 07 2015 12:00:00 GMT-0800 (PST)
2014,Mercedes-Benz,CLA-Class,CLA250,Sedan,automatic,wddsj4eb8en037420,ca,49,27028,white,beige,aaero sweet company,27600,26500,Wed Dec 31 2014 12:15:00 GMT-0800 (PST)
2012,Chevrolet,Silverado 2500HD,LT,Crew Cab,automatic,1gc1kxc8xcf153267,ca,49,23822,gray,black,aaero sweet corporation,38200,41000,Thu Mar 05 2015 03:30:00 GMT-0800 (PST)
2005,BMW,Z4,2.5i,convertible,automatic,4usbt33595lr71393,ca,49,79318,black,beige,aaero sweet corporation,7050,9500,Wed Jun 17 2015 05:00:00 GMT-0700 (PDT)
2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap9cc815557,mo,49,48532,white,beige,absher arnold motors llc,15850,17400,Tue Jan 06 2015 03:00:00 GMT-0800 (PST)
2012,Jeep,Wrangler,Sport,SUV,automatic,1c4ajwag4cl239358,fl,49,28133,black,black,ace auto wholesale inc,20900,22800,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
2013,Ford,Taurus,SE,Sedan,automatic,1fahp2d81dg193658,ca,49,17128,brown,gray,acme auto leasing llc,13750,14000,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
2012,Ram,1500,ST,Regular Cab,automatic,3c6jd6at6cg136273,tn,49,15063,silver,gray,action nissan,17000,17000,Wed Jan 14 2015 02:30:00 GMT-0800 (PST)
2014,Acura,MDX,SH-AWD,suv,automatic,5fryd4h22eb029107,wi,49,14880,gray,black,acura libertyville,37100,37500,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
2013,Acura,TL,SH-AWD w/Technology Package,Sedan,automatic,19uua9f5xda004483,nv,49,11672,black,black,acura of las vegas,29700,30750,Fri Jan 16 2015 03:45:00 GMT-0800 (PST)
2013,Acura,RDX,Technology Package,suv,automatic,5j8tb3h50dl008811,nv,49,21435,gray,black,acura of las vegas,26600,27500,Fri Jun 19 2015 04:55:00 GMT-0700 (PDT)
2012,Acura,TSX,Special Edition,Sedan,automatic,jh4cu2f82cc012517,nv,49,36145,off-white,black,acura of las vegas,17750,18000,Fri Jan 09 2015 11:45:00 GMT-0800 (PST)
2012,Lincoln,Navigator,L,suv,automatic,5lmjj3j59cel03890,wa,49,43167,black,black,acura of seattle,34500,37000,Wed Jun 03 2015 06:20:00 GMT-0700 (PDT)
2013,Nissan,Juke,SL,Hatchback,automatic,jn8af5mv5dt223780,wa,49,9354,black,black,acura of seattle,17800,21250,Wed Jan 28 2015 05:20:00 GMT-0800 (PST)
2012,Jeep,Wrangler,Sahara,SUV,manual,1c4gjwbgxcl222508,pa,49,18682,silver,black,adcock brothers inc,23400,24500,Fri Jan 23 2015 01:30:00 GMT-0800 (PST)
2011,Ford,Expedition,Limited,SUV,automatic,1fmju2a53bef19625,pa,49,44312,black,beige,adcock brothers inc,28900,30750,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
2014,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ft7w2bt9eea02517,pa,49,12073,red,black,adcock brothers inc,47900,46500,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
2012,Ford,F-250 Super Duty,Lariat,SuperCab,automatic,1ft7x2b60cec21256,pa,49,18028,brown,black,adcock brothers inc,29600,33250,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
2010,Chevrolet,Corvette,ZR1,coupe,manual,1g1yn2dt9a5801222,pa,49,3983,red,beige,adcock brothers inc,66000,65000,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
2010,Cadillac,DTS,Premium,Sedan,automatic,1g6kh5ey6au110237,pa,49,53985,silver,black,adcock brothers inc,15800,17500,Fri Jan 16 2015 01:30:00 GMT-0800 (PST)
2009,Jeep,Liberty,Sport,suv,automatic,1j8gn28k39w531004,pa,49,116448,beige,black,adcock brothers inc,7625,8300,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
